var,BO2_templtmin_bdmax,BO2_tempmean_bdmax,BO2_templtmax_bdmax,BO2_templtmin_ss,BO2_tempmean_ss,BO2_templtmax_ss,BO2_salinityltmin_bdmax,BO2_salinitymean_bdmax,BO2_salinityltmax_bdmax,BO2_salinityltmin_ss,BO2_salinitymean_ss,BO2_salinityltmax_ss,BO2_icethickltmin_ss,BO2_icethickmean_ss,BO2_icethickltmax_ss,BO_parmean,BO_parmax,BO2_dissoxltmin_bdmax,BO2_dissoxmean_bdmax,BO2_dissoxltmax_bdmax,BO2_ironltmin_bdmax,BO2_ironmean_bdmax,BO2_ironltmax_bdmax,BO2_nitrateltmin_bdmax,BO2_nitratemean_bdmax,BO2_nitrateltmax_bdmax,BO2_phosphateltmin_bdmax,BO2_phosphatemean_bdmax,BO2_phosphateltmax_bdmax
BO2_templtmin_bdmax,1,0.9918791302293738,0.966187944861587,0.22876318642924962,0.2578618538026833,0.2762139035503951,0.041265928011704485,0.10032204209263061,0.15690277214157944,-0.08449486905466495,-0.019266295055692214,0.03766370602647431,-0.06731090377098345,-0.11299814481738926,-0.13505896341120138,0.19987293325884023,0.18523423303380254,-0.18552868570222508,-0.14547660781093844,-0.10755723107464901,0.20696755340401865,0.2725161169002716,0.30089499439317025,-0.5876060440934165,-0.5824152160731257,-0.5710696201999723,-0.566111492363897,-0.5562964017305225,-0.5417510405761401
BO2_tempmean_bdmax,0.9918791302293738,1,0.9905847872743155,0.19822777138412961,0.23266182322070197,0.2574157719097598,-0.010090565887917052,0.05049455721787569,0.1111726642692262,-0.13700604043512604,-0.07113841698915054,-0.010325770205553513,-0.06527765056928739,-0.1048103398605773,-0.12223793543840746,0.18026894861324022,0.16781205416741707,-0.15456473281004757,-0.10543947775937046,-0.060273047625809935,0.26096697183365564,0.33175050625258334,0.36042969947395387,-0.6261270712809713,-0.6187032764421757,-0.6041786966131226,-0.6013416808576841,-0.5896007220648828,-0.5727524282897314
BO2_templtmax_bdmax,0.966187944861587,0.9905847872743155,1,0.15959755557703179,0.1990474167663274,0.23108023172756742,-0.07707104471391912,-0.013144558431229565,0.053434502660647476,-0.1989427679629012,-0.13306833932076728,-0.06837691270145642,-0.0632104727346385,-0.09204339627234386,-0.10179542976933056,0.15518109185268383,0.14502185236129092,-0.11355168341615941,-0.054604440563661726,-0.00219635015002868,0.32635482794605936,0.40157625432644456,0.4298421211839718,-0.6651794974327673,-0.65538750635871,-0.6379056208928559,-0.6360055638412832,-0.6218605708361902,-0.6024226424119823
BO2_templtmin_ss,0.22876318642924962,0.19822777138412961,0.15959755557703179,1,0.9913072831524956,0.9565192601347551,0.15429518658712763,0.14918876417930818,0.13803017675539747,0.32864114657083665,0.3837353204965321,0.4284798659181566,-0.1995449095111731,-0.33235417623678576,-0.3971928748531945,0.9110771561460766,0.7065458746391254,-0.4706261707535845,-0.4806731490652436,-0.48601529538207716,-0.1371973299143842,-0.1397371646370103,-0.13376382595029726,0.19914770574477422,0.19825147683848335,0.1979679875685901,0.1784932456792666,0.17776621680613736,0.17791599454602297
BO2_tempmean_ss,0.2578618538026833,0.23266182322070197,0.1990474167663274,0.9913072831524956,1,0.9859433666657882,0.13527127833291203,0.12956234712863565,0.11931640910044065,0.3149514258706345,0.36938795808362107,0.4149893441713131,-0.221468554332339,-0.3629724093774689,-0.429330887683056,0.9031483806931501,0.7364156634575232,-0.48765238376850933,-0.4931599243664264,-0.49439104404785406,-0.10735282753321378,-0.10861195542027734,-0.10380467367751746,0.16776718696336115,0.16775559473541496,0.1687301123503952,0.15121916195807322,0.1513898522243117,0.1525250723441906
BO2_templtmax_ss,0.2762139035503951,0.2574157719097598,0.23108023172756742,0.9565192601347551,0.9859433666657882,1,0.10131309702655199,0.09607832734577841,0.08828331420197069,0.2861735022474562,0.33870934183943086,0.3846730669950032,-0.2457706305182638,-0.3903677068098539,-0.45401857154764486,0.8716120721845217,0.7532335941091595,-0.49446698548855045,-0.49423954532747605,-0.4906748802069978,-0.057292605862109186,-0.05920141601868294,-0.05754936668081068,0.1260162030810299,0.12711695682969867,0.12947841634744842,0.1160264079061184,0.11746297883250513,0.11992189774605697
BO2_salinityltmin_bdmax,0.041265928011704485,-0.010090565887917052,-0.07707104471391912,0.15429518658712763,0.13527127833291203,0.10131309702655199,1,0.973573467462484,0.9211007679089172,0.7068158360508695,0.7581650038316341,0.7663722795021188,0.010986393362550292,-0.08083913446645753,-0.13644985634686088,0.10180355307669217,0.12215685889179285,-0.16846826739298695,-0.20932604977750613,-0.2379091215567288,-0.5300724609391194,-0.5325055217285761,-0.5236710445477071,0.19378427017952013,0.18358014980725515,0.17012902629474724,0.15205393693459338,0.1425250263775252,0.1318432756741136
BO2_salinitymean_bdmax,0.10032204209263061,0.05049455721787569,-0.013144558431229565,0.14918876417930818,0.12956234712863565,0.09607832734577841,0.973573467462484,1,0.9840587500137095,0.6819109096260016,0.7554738293063166,0.783637785117809,0.012859714660556241,-0.06164710675111677,-0.10835102296834556,0.09927691380849678,0.11304803197820246,-0.14318891353436553,-0.17875337914588713,-0.20340030274309864,-0.42715162048373617,-0.4203454759581676,-0.4059331037546284,0.1271123961841023,0.11902686052810527,0.10873214260852145,0.08051490490796841,0.07193557538011036,0.0626849783088547
BO2_salinityltmax_bdmax,0.15690277214157944,0.1111726642692262,0.053434502660647476,0.13803017675539747,0.11931640910044065,0.08828331420197069,0.9211007679089172,0.9840587500137095,1,0.6306784658039344,0.7201858201474085,0.7645098153954271,0.013885530593704095,-0.04390427065785857,-0.08125918072127998,0.09336236816304,0.10099826520249487,-0.11526094374140929,-0.14399857594916604,-0.16358326079368715,-0.31771275625682927,-0.30301312393378693,-0.28476376821182375,0.05598955033315954,0.05025900452253934,0.04330851299005122,0.0079508059341933425,7.048626754742914e-4,-0.0066394733627499185
BO2_salinityltmin_ss,-0.08449486905466495,-0.13700604043512604,-0.1989427679629012,0.32864114657083665,0.3149514258706345,0.2861735022474562,0.7068158360508695,0.6819109096260016,0.6306784658039344,1,0.9681641534356027,0.8976879988365156,-0.17175739554880745,-0.3176639458990057,-0.3881331121314099,0.26411055669414296,0.3888204001309012,-0.12117743663941344,-0.16888257960710112,-0.2067021709012533,-0.5682191645043482,-0.5757034498704356,-0.5633090636802891,0.3152083433702,0.3018584424928003,0.28401090529351797,0.2552374865933861,0.24335026253386371,0.22985515498926323
BO2_salinitymean_ss,-0.019266295055692214,-0.07113841698915054,-0.13306833932076728,0.3837353204965321,0.36938795808362107,0.33870934183943086,0.7581650038316341,0.7554738293063166,0.7201858201474085,0.9681641534356027,1,0.9774984542562757,-0.1593487819469139,-0.2915153811868549,-0.3555551853561755,0.32779250404671545,0.4152353243591799,-0.09420429211872444,-0.1380777705464838,-0.1724018645535109,-0.5141483957479106,-0.5141747423318944,-0.497706915688453,0.23041503757747545,0.2187273836775548,0.2035145616907079,0.16833971790450344,0.15709761097084587,0.14464910520160487
BO2_salinityltmax_ss,0.03766370602647431,-0.010325770205553513,-0.06837691270145642,0.4284798659181566,0.4149893441713131,0.3846730669950032,0.7663722795021188,0.783637785117809,0.7645098153954271,0.8976879988365156,0.9774984542562757,1,-0.14772512424630455,-0.2646436709298151,-0.32102163249727017,0.3800790345319087,0.43266881214104386,-0.07490287996274492,-0.11296265734937494,-0.1422139013680976,-0.43764561881664393,-0.43117111711657213,-0.41262293635575154,0.15160440086995305,0.14257649898087074,0.13127036010845466,0.08974887259161327,0.07964713495870764,0.06877328595439483
BO2_icethickltmin_ss,-0.06731090377098345,-0.06527765056928739,-0.0632104727346385,-0.1995449095111731,-0.221468554332339,-0.2457706305182638,0.010986393362550292,0.012859714660556241,0.013885530593704095,-0.17175739554880745,-0.1593487819469139,-0.14772512424630455,1,0.9192701115316276,0.8194737255841796,-0.06834145443980834,-0.11209886103624675,0.20964944904486335,0.20283495049717207,0.19554898143924823,0.059948660083174156,0.04422887927934902,0.03173257125659069,-0.1657242353408526,-0.17089363293259208,-0.17629732959664973,-0.17081798410066432,-0.17668168970370768,-0.18270367542737684
BO2_icethickmean_ss,-0.11299814481738926,-0.1048103398605773,-0.09204339627234386,-0.33235417623678576,-0.3629724093774689,-0.3903677068098539,-0.08083913446645753,-0.06164710675111677,-0.04390427065785857,-0.3176639458990057,-0.2915153811868549,-0.2646436709298151,0.9192701115316276,1,0.976213412026208,-0.18739626971204928,-0.2625162004833008,0.3363483650939089,0.33368751084795034,0.327797624322956,0.19100283320981012,0.16738810222956726,0.14453334981693233,-0.2479752241146315,-0.25267799313428846,-0.25776797778249216,-0.24392132682473278,-0.24901914471036704,-0.25416175823228543
BO2_icethickltmax_ss,-0.13505896341120138,-0.12223793543840746,-0.10179542976933056,-0.3971928748531945,-0.429330887683056,-0.45401857154764486,-0.13644985634686088,-0.10835102296834556,-0.08125918072127998,-0.3881331121314099,-0.3555551853561755,-0.32102163249727017,0.8194737255841796,0.976213412026208,1,-0.24502512885027397,-0.3326500538372843,0.3931104982566603,0.39483005582326147,0.39133212646406257,0.26433796253955727,0.23844279386421025,0.2109320888152384,-0.2891433012914831,-0.29281489818610196,-0.29691664087337927,-0.27729855124475417,-0.281024484412549,-0.28466888459778544
BO_parmean,0.19987293325884023,0.18026894861324022,0.15518109185268383,0.9110771561460766,0.9031483806931501,0.8716120721845217,0.10180355307669217,0.09927691380849678,0.09336236816304,0.26411055669414296,0.32779250404671545,0.3800790345319087,-0.06834145443980834,-0.18739626971204928,-0.24502512885027397,1,0.7560445098549875,-0.38847247924197936,-0.39072562620350315,-0.39051847191032024,-0.04931364097037717,-0.05624349582182446,-0.05787652307760362,0.1141107185601162,0.11387335791450369,0.11448829150799049,0.10394450329974282,0.10421474590528058,0.10547927027088884
BO_parmax,0.18523423303380254,0.16781205416741707,0.14502185236129092,0.7065458746391254,0.7364156634575232,0.7532335941091595,0.12215685889179285,0.11304803197820246,0.10099826520249487,0.3888204001309012,0.4152353243591799,0.43266881214104386,-0.11209886103624675,-0.2625162004833008,-0.3326500538372843,0.7560445098549875,1,-0.31006535335831514,-0.3163323171690165,-0.319806904435474,-0.09117696799910384,-0.09444137519702074,-0.09292381481179407,0.09586892825776261,0.0946335461639395,0.09384980346805322,0.07935750721376225,0.07790484122308804,0.07702001210796479
BO2_dissoxltmin_bdmax,-0.18552868570222508,-0.15456473281004757,-0.11355168341615941,-0.4706261707535845,-0.48765238376850933,-0.49446698548855045,-0.16846826739298695,-0.14318891353436553,-0.11526094374140929,-0.12117743663941344,-0.09420429211872444,-0.07490287996274492,0.20964944904486335,0.3363483650939089,0.3931104982566603,-0.38847247924197936,-0.31006535335831514,1,0.993695073892959,0.9788052876943482,0.2303855692143204,0.23037521031565295,0.22050987783382248,-0.5585735179762114,-0.569324849794913,-0.5800221794628256,-0.6110382484720592,-0.6241027352283296,-0.637654306896277
BO2_dissoxmean_bdmax,-0.14547660781093844,-0.10543947775937046,-0.054604440563661726,-0.4806731490652436,-0.4931599243664264,-0.49423954532747605,-0.20932604977750613,-0.17875337914588713,-0.14399857594916604,-0.16888257960710112,-0.1380777705464838,-0.11296265734937494,0.20283495049717207,0.33368751084795034,0.39483005582326147,-0.39072562620350315,-0.3163323171690165,0.993695073892959,1,0.9952881994005779,0.28232943761446916,0.28992851930290736,0.28208455869675103,-0.6082097748100191,-0.6150581665458774,-0.6208681162316522,-0.6528132064117231,-0.6615145166868933,-0.6699687628618661
BO2_dissoxltmax_bdmax,-0.10755723107464901,-0.060273047625809935,-0.00219635015002868,-0.48601529538207716,-0.49439104404785406,-0.4906748802069978,-0.2379091215567288,-0.20340030274309864,-0.16358326079368715,-0.2067021709012533,-0.1724018645535109,-0.1422139013680976,0.19554898143924823,0.327797624322956,0.39133212646406257,-0.39051847191032024,-0.319806904435474,0.9788052876943482,0.9952881994005779,1,0.32188705498318415,0.33672912797391763,0.33103281505194787,-0.6455530165696918,-0.6484804874720157,-0.6496310235494898,-0.6833629765932364,-0.6881140908907906,-0.6923316120048114
BO2_ironltmin_bdmax,0.20696755340401865,0.26096697183365564,0.32635482794605936,-0.1371973299143842,-0.10735282753321378,-0.057292605862109186,-0.5300724609391194,-0.42715162048373617,-0.31771275625682927,-0.5682191645043482,-0.5141483957479106,-0.43764561881664393,0.059948660083174156,0.19100283320981012,0.26433796253955727,-0.04931364097037717,-0.09117696799910384,0.2303855692143204,0.28232943761446916,0.32188705498318415,1,0.9790922352086946,0.9338174994802739,-0.5217860525573564,-0.5109484851674313,-0.4954460836255532,-0.4907229182990919,-0.48351246873133863,-0.47409152826021866
BO2_ironmean_bdmax,0.2725161169002716,0.33175050625258334,0.40157625432644456,-0.1397371646370103,-0.10861195542027734,-0.05920141601868294,-0.5325055217285761,-0.4203454759581676,-0.30301312393378693,-0.5757034498704356,-0.5141747423318944,-0.43117111711657213,0.04422887927934902,0.16738810222956726,0.23844279386421025,-0.05624349582182446,-0.09444137519702074,0.23037521031565295,0.28992851930290736,0.33672912797391763,0.9790922352086946,1,0.9841537949692638,-0.5533142322675461,-0.5375217923079831,-0.5154706085127337,-0.5231531530490577,-0.5125640141215343,-0.4991677176657649
BO2_ironltmax_bdmax,0.30089499439317025,0.36042969947395387,0.4298421211839718,-0.13376382595029726,-0.10380467367751746,-0.05754936668081068,-0.5236710445477071,-0.4059331037546284,-0.28476376821182375,-0.5633090636802891,-0.497706915688453,-0.41262293635575154,0.03173257125659069,0.14453334981693233,0.2109320888152384,-0.05787652307760362,-0.09292381481179407,0.22050987783382248,0.28208455869675103,0.33103281505194787,0.9338174994802739,0.9841537949692638,1,-0.5449535758893842,-0.526589748525758,-0.5009820216174129,-0.519159755681133,-0.5072462867097826,-0.49220354074984257
BO2_nitrateltmin_bdmax,-0.5876060440934165,-0.6261270712809713,-0.6651794974327673,0.19914770574477422,0.16776718696336115,0.1260162030810299,0.19378427017952013,0.1271123961841023,0.05598955033315954,0.3152083433702,0.23041503757747545,0.15160440086995305,-0.1657242353408526,-0.2479752241146315,-0.2891433012914831,0.1141107185601162,0.09586892825776261,-0.5585735179762114,-0.6082097748100191,-0.6455530165696918,-0.5217860525573564,-0.5533142322675461,-0.5449535758893842,1,0.9981579077540836,0.9914339933858611,0.984097801586262,0.9780468048422216,0.9687837252602665
BO2_nitratemean_bdmax,-0.5824152160731257,-0.6187032764421757,-0.65538750635871,0.19825147683848335,0.16775559473541496,0.12711695682969867,0.18358014980725515,0.11902686052810527,0.05025900452253934,0.3018584424928003,0.2187273836775548,0.14257649898087074,-0.17089363293259208,-0.25267799313428846,-0.29281489818610196,0.11387335791450369,0.0946335461639395,-0.569324849794913,-0.6150581665458774,-0.6484804874720157,-0.5109484851674313,-0.5375217923079831,-0.526589748525758,0.9981579077540836,1,0.9973917109956533,0.9843789193831012,0.9805647509843309,0.9735283021338026
BO2_nitrateltmax_bdmax,-0.5710696201999723,-0.6041786966131226,-0.6379056208928559,0.1979679875685901,0.1687301123503952,0.12947841634744842,0.17012902629474724,0.10873214260852145,0.04330851299005122,0.28401090529351797,0.2035145616907079,0.13127036010845466,-0.17629732959664973,-0.25776797778249216,-0.29691664087337927,0.11448829150799049,0.09384980346805322,-0.5800221794628256,-0.6208681162316522,-0.6496310235494898,-0.4954460836255532,-0.5154706085127337,-0.5009820216174129,0.9914339933858611,0.9973917109956533,1,0.9795902026902489,0.9780796493978784,0.9736725807616928
BO2_phosphateltmin_bdmax,-0.566111492363897,-0.6013416808576841,-0.6360055638412832,0.1784932456792666,0.15121916195807322,0.1160264079061184,0.15205393693459338,0.08051490490796841,0.0079508059341933425,0.2552374865933861,0.16833971790450344,0.08974887259161327,-0.17081798410066432,-0.24392132682473278,-0.27729855124475417,0.10394450329974282,0.07935750721376225,-0.6110382484720592,-0.6528132064117231,-0.6833629765932364,-0.4907229182990919,-0.5231531530490577,-0.519159755681133,0.984097801586262,0.9843789193831012,0.9795902026902489,1,0.9985660773025901,0.9939708474509723
BO2_phosphatemean_bdmax,-0.5562964017305225,-0.5896007220648828,-0.6218605708361902,0.17776621680613736,0.1513898522243117,0.11746297883250513,0.1425250263775252,0.07193557538011036,7.048626754742914e-4,0.24335026253386371,0.15709761097084587,0.07964713495870764,-0.17668168970370768,-0.24901914471036704,-0.281024484412549,0.10421474590528058,0.07790484122308804,-0.6241027352283296,-0.6615145166868933,-0.6881140908907906,-0.48351246873133863,-0.5125640141215343,-0.5072462867097826,0.9780468048422216,0.9805647509843309,0.9780796493978784,0.9985660773025901,1,0.9983166652971966
BO2_phosphateltmax_bdmax,-0.5417510405761401,-0.5727524282897314,-0.6024226424119823,0.17791599454602297,0.1525250723441906,0.11992189774605697,0.1318432756741136,0.0626849783088547,-0.0066394733627499185,0.22985515498926323,0.14464910520160487,0.06877328595439483,-0.18270367542737684,-0.25416175823228543,-0.28466888459778544,0.10547927027088884,0.07702001210796479,-0.637654306896277,-0.6699687628618661,-0.6923316120048114,-0.47409152826021866,-0.4991677176657649,-0.49220354074984257,0.9687837252602665,0.9735283021338026,0.9736725807616928,0.9939708474509723,0.9983166652971966,1
